stop_id,stop_lat,stop_lon,count
4,-37.9873366385717,145.120234658642,46
5,-37.7358803637049,145.041289539685,72
6,-37.7362658728559,145.044967371256,72
7,-37.7365106748963,145.047230473383,72
9,-37.7310469436387,145.04980225115,1591
11,-37.8774445655031,145.178560452376,377
12,-37.8806793635762,145.177946371922,377
13,-37.7148012364305,145.148324048125,3183
14,-37.9837243123431,145.120884755372,46
15,-37.981389670598,145.121411116301,46
16,-37.9790717684995,145.12185731807,46
17,-37.8840764845205,145.177339600354,377
21,-37.8349711458485,144.929407897284,1590
22,-37.7269363770039,145.146909901822,1733
25,-37.6040657020507,144.225468044111,8
26,-37.7304365131443,145.14483693695,1482
27,-37.7835173912823,144.990990958058,1935
28,-38.1513542078143,145.119489097634,24
30,-37.737415066879,145.052869288642,70
31,-37.7393221451913,145.053205156185,70
32,-37.7416167427671,145.054086964159,70
33,-37.74261384336,145.053345885596,156
35,-37.7442125521707,145.058479098937,226
36,-37.7464595301005,145.058113948242,226
37,-37.7502403427853,145.057311423426,70
38,-37.7527926524126,145.056881461018,70
39,-37.7552746112076,145.059290956119,1660
40,-37.7555405780699,145.061213615521,1660
42,-37.7907853633244,144.971795680439,1935
43,-37.976690806516,145.122305095783,46
44,-37.7308822760541,145.06057474651,92
45,-37.7306058236942,145.060752161866,90
46,-37.7329136338166,145.060249411239,92
47,-37.7327568013723,145.139956426886,1482
48,-37.7365351319838,145.059621547752,92
50,-37.7401772551669,145.059151952639,90
53,-37.7394584508903,145.037518429034,72
54,-37.7389867513178,145.03841603611,72
55,-37.7371574250956,145.038963625818,72
56,-37.7358147093862,145.041677088282,72
57,-37.7363438301656,145.046951165225,72
58,-37.736139760231,145.044970688797,72
59,-37.7358332248199,145.048768853469,146
60,-37.7785592754121,145.123673698405,2880
61,-37.8342365695408,144.94922191057,1575
63,-37.5615148048375,143.85582298897,2
67,-37.7424749984193,145.050398879019,250
68,-37.7423590197362,145.050470013845,248
69,-37.7427292331127,145.054330197064,162
70,-37.7427033619109,145.053309494247,250
71,-37.786314453971,144.993833506693,1847
72,-37.7428345029984,145.054701947234,74
73,-37.7431596058789,145.05747387767,324
74,-37.7430415654633,145.057420220113,318
75,-37.7427114248836,145.04780518021,90
76,-37.7442936460008,145.047570675688,90
77,-37.7442814422054,145.047378065083,92
78,-37.7464411322001,145.047729874637,90
79,-37.7465222045937,145.047727744153,92
80,-37.7471745797745,145.051206198837,92
81,-37.7472034802881,145.051318934238,90
82,-37.558655817356,143.858761414847,470
84,-37.7521359528111,145.050406376793,90
86,-37.88597234925,145.176974471265,377
87,-37.7999508835265,144.963992391723,2220
89,-37.7372217879289,145.049356526268,74
90,-37.7379634235185,145.053331534634,74
91,-37.7392939964429,145.053137804746,74
92,-37.7415972278611,145.053996687217,74
94,-37.7444077394983,145.0582924153,234
95,-37.7458361014878,145.058016752143,234
96,-37.7501761637617,145.057245003002,74
97,-37.7527628213101,145.056711988242,74
98,-37.7552328799693,145.057305692689,1678
99,-37.7558223447117,145.062454835661,1678
101,-37.7743757026665,145.126379451799,2880
102,-37.6717375924274,145.016775712647,244
103,-37.8002647178636,144.998067206342,2205
104,-37.7709788505707,145.128690408638,1969
105,-37.8004842174235,145.000378194226,2205
106,-37.8006257893481,145.001816772117,3300
107,-37.7606424511556,145.046550600884,92
108,-37.7357108681677,145.048999017741,142
109,-37.801188783957,145.00632190023,2935
110,-37.7638419645436,145.046023697262,90
111,-37.7662386309775,145.04544976584,972
112,-37.7665158079233,145.04531759291,90
113,-37.7681757773558,145.043253129505,90
114,-37.7687545503311,145.04337410463,1038
115,-37.7689608988106,145.044946686784,264
116,-37.7686158013178,145.045330412219,106
117,-37.7689906641193,145.047284554662,106
118,-37.7711651453393,145.04689811191,106
119,-37.771625954759,145.049690198519,280
120,-37.7719497022034,145.052372385809,280
121,-37.7723082820237,145.055530519267,280
122,-37.772630962421,145.058156020583,280
123,-37.7744854322147,145.061865522723,106
124,-37.7759978970082,145.063415552718,106
125,-37.7778985493446,145.063910947756,106
126,-37.7875439817299,145.065169522486,106
127,-37.7906623223363,145.064633940737,106
128,-37.7922168000864,145.064354897014,106
130,-37.7963301740011,145.063497980245,106
131,-37.7973175127373,145.063256412947,106
132,-37.7998870920435,145.062780429597,106
135,-37.8034523529138,145.011213072483,2205
136,-37.8098046750891,145.056489648901,104
137,-37.8055894260109,145.016096571321,2205
138,-37.806610209559,145.019454054206,2205
139,-37.6693171595998,145.016466015206,244
140,-37.8066632507856,145.022610274816,2205
142,-37.7370897025164,145.039226411965,72
143,-37.8069792087167,145.025327877568,2205
144,-37.739251382337,145.038613316665,72
145,-37.8071483172192,145.027890392158,2205
146,-37.7759525079738,145.117881009825,2305
147,-37.7395463904869,145.036846565211,72
149,-37.6660494416186,145.017754725009,238
150,-37.6627024055506,145.01861464083,188
151,-37.6611426893437,145.020186494717,188
152,-37.6599869808053,145.021668205186,188
153,-37.6604671621385,145.026121869251,188
154,-37.6606638117973,145.028179831658,188
155,-37.6610672666679,145.031830739632,188
156,-37.6613877819776,145.034837710545,188
157,-37.66167241894,145.038401131003,336
158,-37.6625930721284,145.046085664729,336
159,-37.6626024490797,145.048828836277,188
160,-37.6624723323476,145.051314919341,188
161,-37.6636834557774,145.056441404603,346
162,-37.6650480873719,145.05776622846,346
163,-37.6672577446953,145.059511235992,346
164,-37.6684509384025,145.061373495228,340
165,-37.6697571812701,145.065182934172,188
166,-37.670356003276,145.069827156229,188
167,-37.6734733198999,145.070324626096,766
168,-37.6780374610498,145.069469350985,766
169,-37.680724805775,145.069025491219,1684
169,-37.6807062323141,145.068991955138,14
170,-37.6855023392552,145.067994397573,298
171,-37.6889496754601,145.065534775696,298
172,-37.6913275827294,145.063261518392,298
173,-37.695636899997,145.059520110172,298
174,-37.7003024204748,145.06099770774,1523
