LGA_CODE_x,LGA_NAME,2021,2026,2031,2036,Unnamed: 0,LGA_CODE_y,sum_ptv_trips,trip_household_ratio_index
26610.0,SWAN HILL,8530,8530,8640,8750,64.0,366.0,2052.0,1.0980846481363957
26670.0,TOWONG,2740,2810,2890,2930,65.0,367.0,14.0,0.0
26700.0,WANGARATTA,12830,13480,14100,14640,66.0,368.0,3642.0,1.300038132809766
26730.0,WARRNAMBOOL,15020,15740,16580,17400,67.0,369.0,12032.0,3.7121036515261387
26810.0,WELLINGTON,19130,20370,21630,22760,68.0,370.0,3282.0,0.7762901936157629
26890.0,WEST WIMMERA,1890,1840,1820,1770,69.0,371.0,86.0,0.1883818066364954
26980.0,WHITEHORSE,66260,70530,75660,81240,70.0,372.0,715253.0,50.31920913498315
27070.0,WHITTLESEA,79720,90590,102340,114410,71.0,373.0,325234.0,19.002710753709167
27170.0,WODONGA,17430,18980,21000,22790,72.0,374.0,4259.0,1.1157419243819446
27260.0,WYNDHAM,95800,115940,134760,154020,73.0,375.0,353248.0,17.172880884457008
27350.0,YARRA,44690,52390,58850,65430,74.0,376.0,642438.0,67.01895365405755
27450.0,YARRA RANGES,59230,62590,65970,69350,75.0,377.0,133417.0,10.48128084294746
27630.0,YARRIAMBIACK,3020,2980,2920,2830,76.0,378.0,743.0,1.1235660663239506
29399.0,UNINCORPORATED VIC,190,200,220,210,,,,
